name,voltage_class,lat,lon
MV/LV Substation HA***158X,LV,53.28546906,-6.22455072
MV/LV Substation WY***159,LV,53.28937912,-6.16365099
MV/LV Substation MA***160,LV,53.31040573,-6.23788977
MV/LV Substation NE***161,LV,53.27344894,-6.0945034
MV/LV Substation BR***163,LV,53.29518509,-6.17901564
MV/LV Substation FL***164,LV,53.26985931,-6.14027882
MV/LV Substation TR***164X,LV,53.28448868,-6.13175583
MV/LV Substation GL***165X,LV,53.23465729,-6.1167326
MV/LV Substation LA***166,LV,53.30142593,-6.23719454
MV/LV Substation AL***167,LV,53.28607941,-6.20180655
MV/LV Substation CB***167X,LV,53.28956223,-6.14933586
MV/LV Substation HI***168,LV,53.27541351,-6.11284161
MV/LV Substation RO***168X,LV,53.30131531,-6.21994781
MV/LV Substation DR***169,LV,53.28844452,-6.22417212
MV/LV Substation AR***169X,LV,53.2815361,-6.15224648
MV/LV Substation CO***170,LV,53.30106735,-6.23488379
MV/LV Substation TH***171,LV,53.27639008,-6.13900566
MV/LV Substation BR***171X,LV,53.29878998,-6.1790123
MV/LV Substation NE***172,LV,53.3098526,-6.23512173
MV/LV Substation PR***173,LV,53.27070999,-6.1469574
MV/LV Substation IR***173X,LV,53.29662323,-6.13983583
MV/LV Substation QU***174X,LV,53.27998734,-6.19245148
MV/LV Substation KI***175,LV,53.28009415,-6.16238451
MV/LV Substation BO***175X,LV,53.29950333,-6.20359755
MV/LV Substation GO***177X,LV,53.29590607,-6.22861719
MV/LV Substation MT***178,LV,53.28889465,-6.21638536
MV/LV Substation HA***178X,LV,53.29450607,-6.13662815
MV/LV Substation BA***179,LV,53.26899338,-6.1196003
MV/LV Substation HA***179X,LV,53.29447937,-6.13665915
MV/LV Substation BO***180,LV,53.27833557,-6.16018105
MV/LV Substation TO***181,LV,53.27164841,-6.1021843
MV/LV Substation NU***182,LV,53.3074379,-6.23768187
MV/LV Substation CL***182X,LV,53.26165009,-6.16897583
MV/LV Substation BI***183,LV,53.28369141,-6.15369844
MV/LV Substation BE***183X,LV,53.26763916,-6.14891911
MV/LV Substation I.***184,LV,53.29480362,-6.23236752
MV/LV Substation TH***184X,LV,53.31452179,-6.20794868
MV/LV Substation ST***185,LV,53.28623199,-6.19218826
MV/LV Substation TH***185X,LV,53.31453323,-6.20787334
MV/LV Substation TH***186X,LV,53.31301117,-6.20712662
MV/LV Substation BA***187,LV,53.277565,-6.11663008
MV/LV Substation TA***187X,LV,53.31281281,-6.2058897
MV/LV Substation TA***188X,LV,53.31281281,-6.20597982
MV/LV Substation TO***190,LV,53.29872131,-6.16749477
MV/LV Substation ME***190X,LV,53.31282043,-6.20536423
MV/LV Substation BR***191,LV,53.29475403,-6.15734577
MV/LV Substation BR***150,LV,53.28279495,-6.19489717
MV/LV Substation GL***152,LV,53.28473282,-6.13297462
MV/LV Substation CL***153,LV,53.27148056,-6.15975618
MV/LV Substation SI***154,LV,53.27954865,-6.13140154
MV/LV Substation CA***155,LV,53.29096222,-6.15155506
MV/LV Substation RI***155X,LV,53.25131226,-6.12382221
MV/LV Substation ED***157,LV,53.28908157,-6.22936487
MV/LV Substation DU***157X,LV,53.29785156,-6.17467213
MV/LV Substation KI***158,LV,53.26784515,-6.11461401
MV/LV Substation EN***191X,LV,53.31279755,-6.20491505
MV/LV Substation GL***192,LV,53.26258469,-6.120121
MV/LV Substation EN***192X,LV,53.31277847,-6.20481062
MV/LV Substation FA***193,LV,53.28662491,-6.17741537
MV/LV Substation AI***193X,LV,53.26950455,-6.16619682
MV/LV Substation AR***194,LV,53.28371048,-6.18484211
MV/LV Substation HA***194X,LV,53.29164886,-6.13322783
MV/LV Substation GL***195,LV,53.30181503,-6.21131611
MV/LV Substation MO***196,LV,53.28569031,-6.14650393
MV/LV Substation HA***196X,LV,53.29490662,-6.14052534
MV/LV Substation GR***197,LV,53.27973175,-6.19376707
MV/LV Substation WI***197X,LV,53.30132294,-6.24538898
MV/LV Substation ME***198,LV,53.29154205,-6.13059282
MV/LV Substation BA***199X,LV,53.30229187,-6.17830801
MV/LV Substation AR***200,LV,53.28143311,-6.14773798
MV/LV Substation HO***200X,LV,53.3127861,-6.20412016
MV/LV Substation ST***201X,LV,53.31276703,-6.20398617
MV/LV Substation TR***202,LV,53.29253769,-6.20754957
MV/LV Substation SE***203X,LV,53.25967026,-6.13863802
MV/LV Substation RI***204,LV,53.28890991,-6.15882683
MV/LV Substation CA***205,LV,53.30438232,-6.18873549
MV/LV Substation JA***205X,LV,53.28110504,-6.19448853
MV/LV Substation MT***206,LV,53.29005051,-6.22400045
MV/LV Substation JA***206X,LV,53.28138351,-6.19309759
MV/LV Substation LA***207,LV,53.2613678,-6.12434101
MV/LV Substation PE***207X,LV,53.27677536,-6.14062309
