name,county,capacity_mw,lat,lon
Bellacorrick Wind Farm,Mayo,,54.131883,-9.550887
Corrie Mt.,Leitrim,,54.129742,-8.153052
Mount Cronalaght,Donegal,,55.06299,-8.218012
Golagh (1),Donegal,15.0,54.688836,-7.94564
Drumlough Hill Wind Farm,Donegal,,55.204233,-7.438532
Kilronan,Roscommon,,54.080599,-8.146806
Cark,Donegal,,54.896891,-7.896808
Spion Kop Wind Farm,Leitrim,,54.134566,-8.138277
Crockahenny,Donegal,,55.14621,-7.271128
Knock South Wind Farm (Inverin),Galway,,53.265237,-9.368172
Knock South Wind Farm (2),Galway,,53.265038,-9.36902
Currabwee Wind Farm,Cork,,51.681462,-9.12122
Milane Hill Wind Farm,Cork,,51.689543,-9.212524
Anarget Wind Farm (1),Donegal,,54.752161,-8.168337
Beenageeha Wind Farm,Kerry,,52.333406,-9.564538
Largan Hill,Roscommon,,53.948094,-8.567456
Tursillagh Wind Farm,Kerry,,52.313644,-9.596718
Beale Hill (1),Kerry,,52.564254,-9.633618
Culliagh Wind Farm (Meenbog),Donegal,,54.871082,-7.884461
CORNEEN Wind Farm,Cavan,,54.133506,-7.637569
Black Banks (1),Leitrim,,54.144226,-8.195079
Carnsore Wind Farm,Wexford,,52.178405,-6.361851
Kingsmountain (1),Sligo,25.0,54.20434,-8.790268
Meenadreen Wind Farm,Donegal,,54.663546,-7.960938
Burtonport Harbour Single Turbine,Donegal,,54.980658,-8.440192
Beale Hill (2),Kerry,,52.563573,-9.633415
Arklow Bank Wind Farm (1),Offshore,,52.792043,-6.088443
Raheen Barr Wind Farm,Mayo,,53.904988,-9.336144
Curraghgraigue Wind Farm,Tipperary,,52.79588,-8.105186
Meenanilta Wind Farm (1),Donegal,,54.849306,-7.829959
Cuillalea Wind Farm,Mayo,,53.848511,-9.072689
Mounvaun (Mienvee) Wind Farm,Tipperary,,52.649656,-8.144197
Sonnagh Old Phase 1,Galway,,53.130747,-8.637909
Meenanilta Wind Farm (2),Donegal,,54.849774,-7.817658
Tursillagh (2) Wind Farm,Kerry,,52.314721,-9.606069
Meentycat (1),Donegal,72.4,54.869478,-7.86227
Gartnaneane (1) Wind Farm,Cavan,,53.944368,-6.9271
Gartnaneane II Wind Farm,Cavan,,53.889076,-6.968974
Anarget Wind Farm (2),Donegal,,54.751815,-8.171488
Moanmore Wind Farm,Clare,,52.670868,-9.488158
Coomatallin Wind Farm,Cork,,51.657329,-9.092662
Mount Eagle Wind Farm,Kerry,,52.24202,-9.322859
Greenoge Wind Farm,Carlow,,52.657313,-6.723402
Ballywater (1),Wexford,31.5,52.53779,-6.251031
Cronelea Upper Wind Farm,Wicklow,,52.777106,-6.557405
Booltiagh (1),Clare,19.5,52.78007,-9.246027
Black Banks (2),Leitrim,,54.144226,-8.195079
Altagowlan Wind Farm,Roscommon,,54.122647,-8.144202
Moneenatieve Wind Farm (1),Leitrim,,54.143058,-8.158671
Derrybrien (1),Galway,59.5,53.093704,-8.607941
Gneeves Wind Farm,Cork,,52.013205,-9.120461
Dundalk IT Wind Turbine,Louth,,53.983632,-6.391137
Ballinveny Wind Farm,Tipperary,,52.816944,-7.953138
Ballinlough Wind Farm,Tipperary,,52.830198,-8.011504
Geevagh Wind Farm,Sligo,,54.142289,-8.268516
Coomagearlahy (1),Kerry,45.0,51.934009,-9.321388
Taurbeg Wind Farm,Cork,,52.250235,-9.1355
Carrig Wind Farm,Tipperary,,53.029273,-7.978348
Skehanagh Wind Farm,Tipperary,,53.020063,-7.983226
Lahanaght Hill Wind Farm,Cork,,51.650771,-9.217587
Sorne Hill Wind Farm,Donegal,,55.126619,-7.355601
Dunmore Wind Farm,Louth,,53.787721,-6.53281
Richfield Wind Farm (2),Wexford,,52.214989,-6.59192
Beam Hill Wind Farm,Donegal,,55.190661,-7.430825
Richfield Wind Farm,Wexford,,52.216742,-6.594235
Kilvinane Wind Farm,Cork,,51.705643,-8.991883
Kealkil Wind Farm,Cork,,51.812417,-9.320222
Carrane Hill Wind Farm,Sligo,,54.138849,-8.233411
Tournafulla Wind Farm (1),Limerick,,52.375636,-9.161796
Lackan Wind Farm,Sligo,,54.245629,-9.070936
Cronelea Wind Farm,Wicklow,,52.780571,-6.547583
Midas (1),Kerry,32.45,51.925901,-9.306976
Ballywater (2),Wexford,10.5,52.53779,-6.251031
Killybegs Wind Farm,Donegal,,54.658319,-8.458938
Mullananalt Wind Farm,Monaghan,,54.07674,-6.912413
Tournafulla (2) Wind Farm,Limerick,,52.375636,-9.161796
Mountain Lodge (2),Cavan,25.5,54.021497,-7.107947
Mounvaun (Mienvee) Wind Farm (2),Tipperary,,52.64822,-8.142346
Pallas Wind Farm,Kerry,40.0,52.378591,-9.547748
Coomacheo (1),Cork,41.4,52.021282,-9.15883
Meenachullalan Wind Farm,Donegal,,54.690078,-8.492248
Lurganboy Wind Farm,Donegal,,55.112894,-7.617936
"Ballybane (Glanta Commons) Wind
Farm",Cork,,51.631745,-9.379964
Knockawarriga Wind Farm,Limerick,,52.342397,-9.205399
Lios na Carraige,Cavan,,53.906629,-6.790547
Loughderryduff Wind Farm,Donegal,,54.819978,-8.380527
Beallough Wind Farm,Waterford,,52.2733,-7.341304
Mount Eagle Wind Farm (2),Kerry,,52.241838,-9.322341
Mountain Lodge Wind Farm,Cavan,,54.021497,-7.107947
Mountain Lodge (3),Cavan,6.0,54.021497,-7.107947
Coomagearlahy (2),Kerry,8.5,51.887912,-9.308401
"Ballybane 2 (Glanta Commons) Wind
Farm",Cork,,51.631745,-9.379964
Glackmore Hill (1),Donegal,,55.124886,-7.260921
Glackmore Hill (3),Donegal,,55.12236,-7.269478
Glackmore Hill (2),Donegal,,55.122609,-7.268972
Meenkeeragh Wind Farm,Donegal,,55.129617,-7.391986
Dunmore 2,Louth,,53.785981,-6.533099
Coomagearlahy (3),Kerry,32.5,51.93528,-9.347961
Sorne Hill (2),Donegal,,55.131002,-7.355483
