rank,lat,lon,cluster,gap_score,ev_penetration,k_value,candidate_percentile
1,53.425378,-6.219091,4,0.7373622047244094,0.05,6,80
2,53.34371,-6.308068,2,0.41115250389423375,0.05,6,80
3,53.272522,-6.219414,3,0.3278607824825428,0.05,6,80
4,53.350749,-6.254447,5,0.32176993972403517,0.05,6,80
5,53.346838,-6.258914,5,0.30183805619815857,0.05,6,80
6,53.352471,-6.224958,1,0.2825212741005835,0.05,6,80
7,53.264716,-6.133623,3,0.26018972314404565,0.05,6,80
8,53.403009,-6.310221,2,0.2567742937802761,0.05,6,80
9,53.405293,-6.265217,1,0.24512748348737984,0.05,6,80
10,53.342592,-6.271838,0,0.23390729923755005,0.05,6,80
11,53.34937,-6.254029,0,0.21299831469685576,0.05,6,80
