location_id,lat,lon,traffic_volume,traffic_source,distance_to_nearest_substation_m,charger_count_nearby,road_density,ev_penetration_proxy
1,53.348754,-6.257607,241.52,DCC_2024_2025,31.6,0,219,0.049
2,53.354711,-6.246679,1540.22,DCC_2024_2025,36.1,0,63,0.049
3,53.351374,-6.250073,833.42,DCC_2024_2025,20.1,0,138,0.049
4,53.361145,-6.240513,289.96,DCC_2024_2025,67.7,0,49,0.049
5,53.355797,-6.292406,769.61,DCC_2024_2025,167.2,1,24,0.049
6,53.334055,-6.245199,952.34,DCC_2024_2025,56.4,3,44,0.049
7,53.336815,-6.249116,818.12,DCC_2024_2025,83.6,4,84,0.049
8,53.333171,-6.243319,918.68,DCC_2024_2025,70.7,3,34,0.049
9,53.361367,-6.242793,1059.56,DCC_2024_2025,144.7,0,50,0.049
10,53.389738,-6.293341,558.69,DCC_2024_2025,124.1,0,32,0.049
11,53.389123,-6.264819,1060.14,DCC_2024_2025,44.3,0,45,0.049
12,53.378896,-6.266859,788.01,DCC_2024_2025,192.7,0,47,0.049
13,53.385948,-6.265175,1110.76,DCC_2024_2025,57.6,0,41,0.049
14,53.337734,-6.219957,398.47,DCC_2024_2025,77.8,0,47,0.049
15,53.385381,-6.233328,614.41,DCC_2024_2025,77.1,0,11,0.049
17,53.348238,-6.254946,914.95,DCC_2024_2025,54.7,1,208,0.049
18,53.360544,-6.269639,1292.1,DCC_2024_2025,96.5,1,53,0.049
19,53.347387,-6.282361,314.21,DCC_2024_2025,29.8,1,111,0.049
20,53.349924,-6.281677,841.78,DCC_2024_2025,26.7,1,78,0.049
21,53.351066,-6.270081,1150.87,DCC_2024_2025,38.9,2,117,0.049
22,53.337855,-6.269147,835.51,DCC_2024_2025,109.7,2,131,0.049
23,53.36116,-6.286128,572.52,DCC_2024_2025,75.2,0,45,0.049
24,53.333634,-6.265036,1696.22,DCC_2024_2025,37.4,1,88,0.049
25,53.332574,-6.264879,954.33,DCC_2024_2025,103.9,1,73,0.049
26,53.345694,-6.267771,1525.4,DCC_2024_2025,55.9,1,116,0.049
27,53.389159,-6.312446,661.1,DCC_2024_2025,169.2,0,12,0.049
29,53.352363,-6.259162,221.35,DCC_2024_2025,47.6,1,122,0.049
30,53.347818,-6.346206,797.56,DCC_2024_2025,82.8,0,32,0.049
31,53.348517,-6.342813,713.72,DCC_2024_2025,41.0,0,31,0.049
32,53.370333,-6.268485,449.99,DCC_2024_2025,66.8,0,50,0.049
33,53.33036,-6.260034,1259.07,DCC_2024_2025,60.7,1,89,0.049
34,53.332815,-6.262535,855.32,DCC_2024_2025,26.4,3,78,0.049
35,53.342592,-6.271838,2498.27,DCC_2024_2025,62.3,1,196,0.049
36,53.350115,-6.274547,1203.47,DCC_2024_2025,70.0,1,101,0.049
37,53.345614,-6.275764,2663.5,DCC_2024_2025,81.9,1,160,0.049
38,53.332234,-6.27523,1325.61,DCC_2024_2025,80.6,0,44,0.049
39,53.341155,-6.250742,680.81,DCC_2024_2025,37.0,1,153,0.049
40,53.362621,-6.252298,872.3,DCC_2024_2025,57.4,0,26,0.049
41,53.360331,-6.20969,952.59,DCC_2024_2025,71.7,0,5,0.049
42,53.342816,-6.316984,1727.8,DCC_2024_2025,87.3,0,43,0.049
43,53.381086,-6.239219,1078.07,DCC_2024_2025,89.1,0,26,0.049
44,53.354362,-6.273197,818.21,DCC_2024_2025,79.9,0,89,0.049
45,53.348296,-6.308363,917.92,DCC_2024_2025,47.2,0,42,0.049
46,53.332043,-6.29348,1031.66,DCC_2024_2025,121.3,1,64,0.049
47,53.33015,-6.298166,1132.38,DCC_2024_2025,70.8,1,46,0.049
48,53.344118,-6.26722,769.91,DCC_2024_2025,45.1,1,149,0.049
49,53.344169,-6.264473,699.57,DCC_2024_2025,54.9,1,140,0.049
50,53.344243,-6.262293,666.72,DCC_2024_2025,43.1,0,155,0.049
51,53.309044,-6.261254,695.62,DCC_2024_2025,84.6,0,17,0.049
52,53.311169,-6.262342,42.15,DCC_2024_2025,210.6,0,20,0.049
53,53.334037,-6.299189,889.65,DCC_2024_2025,63.0,1,70,0.049
54,53.333527,-6.291346,1319.24,DCC_2024_2025,78.6,0,54,0.049
55,53.360709,-6.260336,1494.81,DCC_2024_2025,56.7,0,62,0.049
56,53.352894,-6.268332,1351.47,DCC_2024_2025,37.9,1,165,0.049
57,53.357511,-6.263842,1946.03,DCC_2024_2025,134.7,2,94,0.049
58,53.356051,-6.265229,1299.1,DCC_2024_2025,60.2,2,118,0.049
59,53.359011,-6.261967,2029.19,DCC_2024_2025,79.6,1,85,0.049
60,53.35423,-6.266954,1338.51,DCC_2024_2025,46.5,2,160,0.049
61,53.359794,-6.26129,1990.55,DCC_2024_2025,78.4,1,66,0.049
62,53.324027,-6.328007,1100.79,DCC_2024_2025,28.3,0,23,0.049
63,53.363453,-6.257968,1282.36,DCC_2024_2025,61.1,1,43,0.049
64,53.375821,-6.250366,1538.81,DCC_2024_2025,88.4,0,14,0.049
65,53.373441,-6.252043,1468.59,DCC_2024_2025,120.3,0,16,0.049
66,53.36873,-6.255011,1736.74,DCC_2024_2025,102.3,1,16,0.049
67,53.361724,-6.259479,1649.92,DCC_2024_2025,91.7,0,54,0.049
69,53.384781,-6.143031,726.78,DCC_2024_2025,50.9,0,6,0.049
70,53.333835,-6.258651,499.01,DCC_2024_2025,49.5,2,111,0.049
71,53.339475,-6.321234,865.0,DCC_2024_2025,50.4,0,47,0.049
72,53.362856,-6.236443,1049.48,DCC_2024_2025,72.6,0,50,0.049
73,53.364166,-6.229072,1167.37,DCC_2024_2025,32.4,1,38,0.049
75,53.341081,-6.245322,744.5,DCC_2024_2025,31.8,0,133,0.049
76,53.356808,-6.259113,563.63,DCC_2024_2025,64.6,0,108,0.049
77,53.337287,-6.234683,783.58,DCC_2024_2025,139.2,1,42,0.049
78,53.391108,-6.168162,1218.33,DCC_2024_2025,76.4,0,12,0.049
80,53.374002,-6.243285,816.92,DCC_2024_2025,167.7,0,16,0.049
