rank,lat,lon,cluster,gap_score,ev_penetration,k_value,candidate_percentile
1,53.425378,-6.219091,5,0.7583622047244094,0.08,6,80
2,53.34371,-6.308068,4,0.4197276148041477,0.08,6,80
3,53.272522,-6.219414,0,0.33479853712265145,0.08,6,80
4,53.350749,-6.254447,1,0.32472039694449695,0.08,6,80
5,53.346838,-6.258914,1,0.30442150572283033,0.08,6,80
6,53.352471,-6.224958,2,0.2893109707959207,0.08,6,80
7,53.264716,-6.133623,0,0.2666450875623345,0.08,6,80
8,53.403009,-6.310221,4,0.2626933793393526,0.08,6,80
9,53.405293,-6.265217,2,0.2504100910020924,0.08,6,80
10,53.342592,-6.271838,3,0.2373001512067669,0.08,6,80
11,53.34937,-6.254029,3,0.215608165307992,0.08,6,80
